url,errmsg

https://www.amazon.com/dp/B003ZG3GAM,"('list index out of range',)"

https://www.amazon.com/dp/B000NDFLWG,"('list index out of range',)"

https://www.amazon.com/dp/B007NF02Q2,"('list index out of range',)"

https://www.amazon.com/dp/B0001G6PZC,"('list index out of range',)"

https://www.amazon.com/dp/B000IZJR3I,"('list index out of range',)"

https://www.amazon.com/dp/B0070225F4,"('list index out of range',)"

https://www.amazon.com/dp/6300157423,"('list index out of range',)"

https://www.amazon.com/dp/1888617047,"('list index out of range',)"

https://www.amazon.com/dp/B000OIOSFG,"('list index out of range',)"

https://www.amazon.com/dp/B004XSUBE0,"('list index out of range',)"

https://www.amazon.com/dp/B004ZWHZUC,"('list index out of range',)"

https://www.amazon.com/dp/B001CCMLR0,"('list index out of range',)"

https://www.amazon.com/dp/6300147967,"('list index out of range',)"

https://www.amazon.com/dp/B00004CQTP,"('list index out of range',)"

https://www.amazon.com/dp/6305508569,"('list index out of range',)"

https://www.amazon.com/dp/B000056PNI,"('list index out of range',)"

https://www.amazon.com/dp/B0092MDYV4,"('list index out of range',)"

https://www.amazon.com/dp/B00004CQTF,"('list index out of range',)"

https://www.amazon.com/dp/B0016OLXN2,"('list index out of range',)"

https://www.amazon.com/dp/B0009Y2LTU,"('list index out of range',)"

https://www.amazon.com/dp/B003BUAP10,"('list index out of range',)"

https://www.amazon.com/dp/6304286961,"('list index out of range',)"

https://www.amazon.com/dp/6302139724,"('list index out of range',)"

https://www.amazon.com/dp/B000063W82,"('list index out of range',)"

https://www.amazon.com/dp/B00005226W,"('list index out of range',)"

https://www.amazon.com/dp/B0036DBMMI,"('list index out of range',)"

https://www.amazon.com/dp/B000XEDVEA,"('list index out of range',)"

https://www.amazon.com/dp/B0042AH2I2,"('list index out of range',)"

https://www.amazon.com/dp/B007EMEOEA,"('list index out of range',)"

https://www.amazon.com/dp/B0099VUXCQ,"('list index out of range',)"

https://www.amazon.com/dp/B000056PNV,"('list index out of range',)"

https://www.amazon.com/dp/B00020HBNW,"('list index out of range',)"

https://www.amazon.com/dp/B000SKO8DC,"('list index out of range',)"

https://www.amazon.com/dp/B000UGBOT0,"('list index out of range',)"

https://www.amazon.com/dp/B00022VM5I,"('list index out of range',)"

https://www.amazon.com/dp/B00096S43A,"('list index out of range',)"

https://www.amazon.com/dp/B00020HBNC,"('list index out of range',)"

https://www.amazon.com/dp/B0095D5454,"('list index out of range',)"

https://www.amazon.com/dp/B002KBG4TS,"('list index out of range',)"

https://www.amazon.com/dp/B0012EM5GK,"('list index out of range',)"

https://www.amazon.com/dp/6303955746,"('list index out of range',)"

https://www.amazon.com/dp/B0000060TP,"('list index out of range',)"

https://www.amazon.com/dp/6300213153,"('list index out of range',)"

https://www.amazon.com/dp/B000MRA54M,"('list index out of range',)"

https://www.amazon.com/dp/6302760046,"('list index out of range',)"

https://www.amazon.com/dp/6301173147,"('list index out of range',)"

https://www.amazon.com/dp/B006FYGF8Q,"('list index out of range',)"

https://www.amazon.com/dp/6301661869,"('list index out of range',)"

https://www.amazon.com/dp/B0002V7TJW,"('list index out of range',)"

https://www.amazon.com/dp/B0042800WE,"('list index out of range',)"

https://www.amazon.com/dp/B0002EJ87U,"(SSLError(SSLError(""bad handshake: SysCallError(-1, 'Unexpected EOF')"",),),)"

https://www.amazon.com/dp/B004EPYZQ2,"(SSLError(SSLError(""bad handshake: SysCallError(10054, 'WSAECONNRESET')"",),),)"

https://www.amazon.com/dp/B009B6XA1U,"('list index out of range',)"

https://www.amazon.com/dp/B0085KGGLY,"('list index out of range',)"

https://www.amazon.com/dp/B00005952Q,"('list index out of range',)"

https://www.amazon.com/dp/B000CNET2K,"('list index out of range',)"

https://www.amazon.com/dp/B00284EM3C,"('list index out of range',)"

https://www.amazon.com/dp/B0030FT96S,"('list index out of range',)"

https://www.amazon.com/dp/B00000IC80,"('list index out of range',)"

https://www.amazon.com/dp/B00000IC83,"('list index out of range',)"

https://www.amazon.com/dp/B00000IC84,"('list index out of range',)"

https://www.amazon.com/dp/B00000IC89,"('list index out of range',)"

https://www.amazon.com/dp/B0048KQQC4,"('list index out of range',)"

https://www.amazon.com/dp/6300246299,"('list index out of range',)"

https://www.amazon.com/dp/B0007Z9RCU,"('list index out of range',)"

https://www.amazon.com/dp/B0019RP6KC,"('list index out of range',)"

https://www.amazon.com/dp/B008BSM1EG,"('list index out of range',)"

https://www.amazon.com/dp/6304179499,"('list index out of range',)"

https://www.amazon.com/dp/B00000IC8K,"('list index out of range',)"

https://www.amazon.com/dp/B00000IC8M,"('list index out of range',)"

https://www.amazon.com/dp/B001E6JCBC,"('list index out of range',)"

https://www.amazon.com/dp/B000CNET20,"('list index out of range',)"

https://www.amazon.com/dp/B000065FKL,"('list index out of range',)"

https://www.amazon.com/dp/B000FOR9XM,"('list index out of range',)"

https://www.amazon.com/dp/B004EPYZQM,"('list index out of range',)"

https://www.amazon.com/dp/B0014567LQ,"('list index out of range',)"

https://www.amazon.com/dp/B000H5U5IK,"('list index out of range',)"

https://www.amazon.com/dp/B00000IBNW,"('list index out of range',)"

https://www.amazon.com/dp/B0001EYSQC,"('list index out of range',)"

https://www.amazon.com/dp/B000I9TX1U,"('list index out of range',)"

https://www.amazon.com/dp/B00004RQB1,"('list index out of range',)"

https://www.amazon.com/dp/B007CU8PAI,"('list index out of range',)"

https://www.amazon.com/dp/B0007ORDMW,"('list index out of range',)"

https://www.amazon.com/dp/B000W2FI7Q,"('list index out of range',)"

https://www.amazon.com/dp/B000B19E8W,"('list index out of range',)"

https://www.amazon.com/dp/B001N8Z8K0,"('list index out of range',)"

https://www.amazon.com/dp/B00433TOWA,"('list index out of range',)"

https://www.amazon.com/dp/B00005Y961,"('list index out of range',)"

https://www.amazon.com/dp/B00013EY80,"('list index out of range',)"

https://www.amazon.com/dp/B00028G74S,"('list index out of range',)"

https://www.amazon.com/dp/B0000TPAVK,"('list index out of range',)"

https://www.amazon.com/dp/B003BV8IBI,"('list index out of range',)"

https://www.amazon.com/dp/B000F6ZPKY,"('list index out of range',)"

https://www.amazon.com/dp/6304880677,"('list index out of range',)"

https://www.amazon.com/dp/6305988838,"('list index out of range',)"

https://www.amazon.com/dp/B000GALHPQ,"('list index out of range',)"

https://www.amazon.com/dp/B004SCMGSU,"('list index out of range',)"

https://www.amazon.com/dp/6303359329,"('list index out of range',)"

https://www.amazon.com/dp/B00004T6FK,"('list index out of range',)"

https://www.amazon.com/dp/B001AQT0VI,"('list index out of range',)"

https://www.amazon.com/dp/B0094MOQ0K,"('list index out of range',)"

https://www.amazon.com/dp/B000TGUUG4,"('list index out of range',)"

https://www.amazon.com/dp/B0035YKW0Q,"('list index out of range',)"

https://www.amazon.com/dp/6301387090,"('list index out of range',)"

https://www.amazon.com/dp/B000KGGJ0E,"('list index out of range',)"

https://www.amazon.com/dp/6303704840,"('list index out of range',)"

https://www.amazon.com/dp/6302149525,"('list index out of range',)"

https://www.amazon.com/dp/B001NZWEI2,"('list index out of range',)"

https://www.amazon.com/dp/B000NVL49M,"('list index out of range',)"

https://www.amazon.com/dp/B000KGGJ0Y,"('list index out of range',)"

https://www.amazon.com/dp/B00742GOP2,"('list index out of range',)"

https://www.amazon.com/dp/B001OASRAA,"('list index out of range',)"

https://www.amazon.com/dp/B000LXH5PO,"('list index out of range',)"

https://www.amazon.com/dp/B002KFPMBA,"('list index out of range',)"

https://www.amazon.com/dp/5556167281,"('list index out of range',)"

https://www.amazon.com/dp/B002TK03YW,"('list index out of range',)"

https://www.amazon.com/dp/B000OIOSFQ,"('list index out of range',)"

https://www.amazon.com/dp/6300135233,"('list index out of range',)"
